"WO #",Unit,"Unit Zone","Property Group",Creation,Activation,"Expected Completion",Closed,"Block Type","Block Start","Block End",Title,Vendor,Operator,Priority,"Show in Owner Area","Charge Type",Status,"Unit Status",Age,Originator,Processor
41500836,"Links & Leisure",,Venice,"07/29/26 10:02 am","07/29/26 10:02 am",07/29/26,N/A,"Not Blocked", , ,"Electric blinds","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,29,Management,"McNamara Heather"
41500450,"Villa Milano",,LUXURY,"07/29/26 09:34 am","07/29/26 09:34 am",07/29/26,N/A,"Not Blocked", , ,"urgent safety inspection","Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Occupied,29,Management,"McNamara Heather"
41485811,"Gulf & Bay Bayside - 1350",,GBB,"07/28/26 02:41 pm",,,N/A,"Not Blocked", , ,"Master bathroom Sinks",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,30,"Maintenance App","Randall Cararese"
41485700,"Beach House Residences Unit 1",,LUXURY,"07/28/26 02:32 pm","08/08/26 09:40 am",,N/A,"Not Blocked", , ,"bathrooms and window shade","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,30,"Maintenance App","Matthews Travis"
41485655,"7th Heaven",,"Northern Portfolio","07/28/26 02:28 pm",,,N/A,"Not Blocked", , ,"Guest bathroom",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,30,"Maintenance App","Santana Angel"
41485616,"Beach House Residences Unit 1",,LUXURY,"07/28/26 02:26 pm",,,N/A,"Not Blocked", , ,bakcony,N/A,N/A,N/A,No,"No Charge",Pending,Occupied,30,"Maintenance App","Matthews Travis"
41485574,"7th Heaven",,"Northern Portfolio","07/28/26 02:24 pm",,,N/A,"Not Blocked", , ,"Half bath",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,30,"Maintenance App","Santana Angel"
41485555,"Beach House Residences Unit 1",,LUXURY,"07/28/26 02:22 pm",,,N/A,"Not Blocked", , ,"bedroom 3",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,30,"Maintenance App","Matthews Travis"
41482568,"Gulf & Bay Bayside - 1230",,GBB,"07/28/26 12:05 pm",,,N/A,"Not Blocked", , ,"front porch  entry",N/A,N/A,N/A,No,"No Charge",Pending,Reclean,30,"Maintenance App","Randall Cararese"
41481279,"Florida Dreams",,"Northern Portfolio","07/28/26 11:08 am",,,N/A,"Not Blocked", , ,"dining room",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,30,"Maintenance App","Santana Angel"
41479119,"Florida Dreams",,"Northern Portfolio","07/28/26 10:59 am",,,N/A,"Not Blocked", , ,"living room",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,30,"Maintenance App","Santana Angel"
41479081,"Florida Dreams",,"Northern Portfolio","07/28/26 10:57 am",,,N/A,"Not Blocked", , ,"living room",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,30,"Maintenance App","Santana Angel"
41478878,"Florida Dreams",,"Northern Portfolio","07/28/26 10:54 am",,,N/A,"Not Blocked", , ,"primary bathroom",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,30,"Maintenance App","Santana Angel"
41478851,"Florida Dreams",,"Northern Portfolio","07/28/26 10:52 am",,,N/A,"Not Blocked", , ,"primary bathroom",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,30,"Maintenance App","Santana Angel"
41478846,"Florida Dreams",,"Northern Portfolio","07/28/26 10:51 am",,,N/A,"Not Blocked", , ,"primary bathroom",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,30,"Maintenance App","Santana Angel"
41478803,"Florida Dreams",,"Northern Portfolio","07/28/26 10:48 am",,,N/A,"Not Blocked", , ,"primary bedroom",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,30,"Maintenance App","Santana Angel"
41478729,"Florida Dreams",,"Northern Portfolio","07/28/26 10:45 am",,,N/A,"Not Blocked", , ,"primary bedroom",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,30,"Maintenance App","Santana Angel"
41464903,"Sandalfoot 1A2",,Sandalfoot,"07/27/26 04:03 pm","07/27/26 04:30 pm",07/28/26,N/A,"Not Blocked", , ,"Master bathroom toilet water is running","Sandalfoot On-Site Maintenance",N/A,N/A,No,Owner,"Pending Final Closing",Checked-out/Clean,31,"Maintenance App","Garcia Kyle"
41464713,"Sandalfoot 1A2",,Sandalfoot,"07/27/26 03:53 pm","07/27/26 03:53 pm",,N/A,"Not Blocked", , ,"Second bedroom TV won't play anything but turns on",N/A,N/A,N/A,No,"No Charge",Active,Checked-out/Clean,31,"Maintenance App","Garcia Kyle"
41425636,"Gulf & Bay Bayside - 1219",,GBB,"07/25/26 02:21 pm",,,N/A,"Not Blocked", , ,"living room",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,33,"Maintenance App","Randall Cararese"
41425577,"Gulf & Bay Bayside - 1219",,GBB,"07/25/26 02:17 pm",,,N/A,"Not Blocked", , ,"master bathroom",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,33,"Maintenance App","Randall Cararese"
41425439,"Gulf & Bay Bayside - 1219",,GBB,"07/25/26 02:12 pm",,,N/A,"Not Blocked", , ,"guest bathroom vent",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,33,"Maintenance App","Randall Cararese"
41424181,"Gulf & Bay Bayside - 1304",,GBB,"07/25/26 12:48 pm","08/07/26 02:11 pm",,N/A,"Not Blocked", , ,kitchen,N/A,N/A,N/A,No,"No Charge",Active,Occupied,33,"Maintenance App","Randall Cararese"
41424138,"Gulf & Bay Bayside - 1304",,GBB,"07/25/26 12:45 pm",,,N/A,"Not Blocked", , ,"Guest bedroom with the twin beds in it",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,33,"Maintenance App","Randall Cararese"
41423154,"Gulf & Bay Bayside - 1346",,GBB,"07/25/26 11:37 am","08/18/26 07:56 am",,N/A,"Not Blocked", , ,kitchen,"Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Reclean,33,"Maintenance App","Randall Cararese"
41422805,"Gulf & Bay Bayside - 1346",,GBB,"07/25/26 11:18 am",,,N/A,"Not Blocked", , ,"Guest bathroom",N/A,N/A,N/A,No,"No Charge",Pending,Reclean,33,"Maintenance App","Randall Cararese"
41421599,"Gulf & Bay Bayside - 1340",,GBB,"07/25/26 09:52 am",,,N/A,"Not Blocked", , ,"lanai area, patio furniture cushions",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,33,"Maintenance App","Randall Cararese"
41421585,"Gulf & Bay Bayside - 1340",,GBB,"07/25/26 09:50 am",,,N/A,"Not Blocked", , ,"The vent near the hallway and living room area",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,33,"Maintenance App","Randall Cararese"
41421558,"Gulf & Bay Bayside - 1340",,GBB,"07/25/26 09:47 am",,,N/A,"Not Blocked", , ,"entry door",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,33,"Maintenance App","Randall Cararese"
41421552,"Gulf & Bay Bayside - 1340",,GBB,"07/25/26 09:46 am",,,N/A,"Not Blocked", , ,"Master bedroom lampshade",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,33,"Maintenance App","Randall Cararese"
41421538,"Gulf & Bay Bayside - 1340",,GBB,"07/25/26 09:45 am",,,N/A,"Not Blocked", , ,"Master bedroom and guest bedroom pillowcases",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,33,"Maintenance App","Randall Cararese"
41421502,"Gulf & Bay Bayside - 1340",,GBB,"07/25/26 09:43 am",,,N/A,"Not Blocked", , ,"Master Bedroom",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,33,"Maintenance App","Randall Cararese"
41421469,"Gulf & Bay Bayside - 1340",,GBB,"07/25/26 09:41 am",,,N/A,"Not Blocked", , ,"Guest bathroom",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,33,"Maintenance App","Randall Cararese"
41421458,"Gulf & Bay Bayside - 1340",,GBB,"07/25/26 09:39 am",,,N/A,"Not Blocked", , ,filter,N/A,N/A,N/A,No,"No Charge",Pending,Occupied,33,"Maintenance App","Randall Cararese"
41421437,"Gulf & Bay Bayside - 1340",,GBB,"07/25/26 09:38 am",,,N/A,"Not Blocked", , ,"living room couches",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,33,"Maintenance App","Randall Cararese"
41421425,"Gulf & Bay Bayside - 1340",,GBB,"07/25/26 09:37 am",,,N/A,"Not Blocked", , ,"The dining room table",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,33,"Maintenance App","Randall Cararese"
41421412,"Gulf & Bay Bayside - 1340",,GBB,"07/25/26 09:36 am",,,N/A,"Not Blocked", , ,"The guest book",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,33,"Maintenance App","Randall Cararese"
41421400,"Gulf & Bay Bayside - 1340",,GBB,"07/25/26 09:35 am",,,N/A,"Not Blocked", , ,"kitchen walls",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,33,"Maintenance App","Randall Cararese"
41421384,"Gulf & Bay Bayside - 1340",,GBB,"07/25/26 09:33 am",,,N/A,"Not Blocked", , ,"kitchen dishes and towels",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,33,"Maintenance App","Randall Cararese"
41421319,"Gulf & Bay Bayside - 1340",,GBB,"07/25/26 09:28 am",,,N/A,"Not Blocked", , ,"entry area",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,33,"Maintenance App","Randall Cararese"
41406236,"Gulf & Bay Bayside - 1338",,GBB,"07/24/26 01:01 pm","07/24/26 05:33 pm",,N/A,"Not Blocked", , ,"The carpet throughout",N/A,N/A,N/A,No,"No Charge",Active,Checked-out/Clean,34,"Maintenance App","Randall Cararese"
41403064,"Sandalfoot 5A3",,Sandalfoot,"07/24/26 10:04 am","07/24/26 10:04 am",07/29/26,N/A,"Not Blocked", , ,"hot water heater",N/A,N/A,N/A,No,"No Charge",Active,Occupied,34,Management,"Yelenich Peyton"
41403055,"Sandalfoot 5B3",,Sandalfoot,"07/24/26 10:03 am","07/24/26 10:03 am",07/29/26,N/A,"Not Blocked", , ,"hot water heater","Sandalfoot Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,34,Management,"Yelenich Peyton"
41403043,"Sandalfoot 5B2",,Sandalfoot,"07/24/26 10:02 am","07/24/26 10:02 am",07/29/26,N/A,"Not Blocked", , ,"hot water heater",N/A,N/A,N/A,No,"No Charge",Active,Occupied,34,Management,"Yelenich Peyton"
41383142,"Gulf & Bay Bayside - 1391",,GBB,"07/23/26 09:07 am","07/23/26 12:21 pm",,N/A,"Not Blocked", , ,"Master bathroom faucets",N/A,N/A,N/A,No,"No Charge",Active,Checked-out/Clean,35,"Maintenance App","Randall Cararese"
41364868,"Gulf & Bay Bayside - 1364",,GBB,"07/22/26 11:44 am",,,N/A,"Not Blocked", , ,kitchen,N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,36,"Maintenance App","Randall Cararese"
41364778,"Gulf & Bay Bayside - 1364",,GBB,"07/22/26 11:43 am",,,N/A,"Not Blocked", , ,"living room rug",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,36,"Maintenance App","Randall Cararese"
41351738,"Tropical Gulf Retreat",,"Northern Portfolio","07/21/26 01:54 pm","07/21/26 01:54 pm",07/21/26,N/A,"Not Blocked", , ,"Front door not latching","Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Checked-out/Clean,37,Management,"McNamara Heather"
41351090,"Coastal Oasis",,"Northern Portfolio","07/21/26 01:23 pm",,,N/A,"Not Blocked", , ,"bedroom two",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,37,"Maintenance App","Santana Angel"
41350828,"My Great Escape",,"Northern Portfolio","07/21/26 01:11 pm","08/09/26 09:40 am",07/21/26,N/A,"Not Blocked", , ,"Bathroom issues","Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Occupied,37,Management,"McNamara Heather"
41348422,"La Vida Loca",,"Central Portfolio","07/21/26 11:07 am",,,N/A,"Not Blocked", , ,"pool water level",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,37,"Maintenance App","Matthews Travis"
41348412,"La Vida Loca",,"Central Portfolio","07/21/26 11:06 am",,,N/A,"Not Blocked", , ,"pool rules sign",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,37,"Maintenance App","Matthews Travis"
41348318,"La Vida Loca",,"Central Portfolio","07/21/26 10:57 am",,,N/A,"Not Blocked", , ,"bedroom 1",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,37,"Maintenance App","Matthews Travis"
41348266,"La Vida Loca",,"Central Portfolio","07/21/26 10:54 am",,,N/A,"Not Blocked", , ,"bedroom 3",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,37,"Maintenance App","Matthews Travis"
41348248,"La Vida Loca",,"Central Portfolio","07/21/26 10:52 am",,,N/A,"Not Blocked", , ,"bedroom 3",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,37,"Maintenance App","Matthews Travis"
41348090,"La Vida Loca",,"Central Portfolio","07/21/26 10:50 am",,,N/A,"Not Blocked", , ,"bedroom 2",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,37,"Maintenance App","Matthews Travis"
41347195,"Sea Isles 8D",,"Sanibel Portfolio","07/21/26 09:54 am","07/21/26 09:54 am",07/23/26,N/A,"Not Blocked", , ,"Carpet Cleaning","Voda Cleaning & Restoration of Sarasota",N/A,N/A,No,Owner,Active,Checked-out/Clean,37,Management,"Banks Jen"
41310784,"Sandalfoot 1C3",,Sandalfoot,"07/19/26 02:15 pm",,,N/A,"Not Blocked", , ,"Dining room area light needs dusting",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,39,"Maintenance App","Johnson Michelle"
41295297,"YCBR 25 - 1 Bed / 1 Bath",,YCBR,"07/18/26 03:28 pm",,,N/A,"Not Blocked", , ,microwave,N/A,N/A,N/A,No,"No Charge",Pending,"Pending Inspection",40,"Maintenance App","Matthews Travis"
41295178,"YCBR 25 - 1 Bed / 1 Bath",,YCBR,"07/18/26 03:21 pm",,,N/A,"Not Blocked", , ,"front door",N/A,N/A,N/A,No,"No Charge",Pending,"Pending Inspection",40,"Maintenance App","Matthews Travis"
41291706,"Gulf & Bay Bayside - 1274",,GBB,"07/18/26 11:51 am","07/18/26 02:12 pm",,N/A,"Not Blocked", , ,"carpet throughout","America's Carpet Masters Services Corp.",N/A,N/A,No,"No Charge","Pending Final Closing",Occupied,40,"Maintenance App","Randall Cararese"
41291275,"Beach House Residences Unit 1",,LUXURY,"07/18/26 11:23 am","07/18/26 01:02 pm",,N/A,"Not Blocked", , ,"Faucet and AC filter","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,40,"Maintenance App","Matthews Travis"
41275751,"Palm Garden",,Seasonal,"07/17/26 02:53 pm","07/18/26 09:27 am",,"07/17/26 04:30pm","Not Blocked", , ,"palm tree","T-Wreckz Junk Removal LLC",N/A,N/A,No,"No Charge",Pending,Dirty,41,"Maintenance App","Matthews Travis"
41239458,"Glorious Golfers",,Seasonal,"07/15/26 04:40 pm","07/15/26 04:40 pm",07/15/26,N/A,"Not Blocked", , ,"lynx lock","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,43,Management,"McNamara Heather"
41239448,"Coastal Links",,"Northern Portfolio","07/15/26 04:40 pm","07/15/26 04:40 pm",07/15/26,N/A,"Not Blocked", , ,"lynx lock","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,43,Management,"McNamara Heather"
41239372,"Beachbound Bliss",,Seasonal,"07/15/26 04:36 pm","07/15/26 04:36 pm",07/15/26,N/A,"Not Blocked", , ,"lynx lock","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,43,Management,"McNamara Heather"
41239332,Avalon,,"Central Portfolio","07/15/26 04:33 pm","07/15/26 04:33 pm",07/15/26,N/A,"Not Blocked", , ,"Lynx lock","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,43,Management,"McNamara Heather"
41229762,"zSunset Splash",,"Northern Portfolio","07/15/26 09:33 am","07/15/26 09:33 am",07/17/26,N/A,"Not Blocked", , ,"pick up ozone machine","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,43,Management,"McNamara Heather"
41213528,"Sandalfoot 5D3",,Sandalfoot,"07/14/26 02:13 pm",,,N/A,"Not Blocked", , ,"no fire extinguisher",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,44,"Maintenance App","Yelenich Peyton"
41192713,"Sandalfoot 2B2",,Sandalfoot,"07/13/26 03:09 pm","07/13/26 03:09 pm",07/13/26,N/A,"Not Blocked", , ,"new beach umbrella","Sandalfoot On-Site Maintenance",N/A,N/A,No,Owner,"Pending Final Closing",Occupied,45,Management,"Garcia Kyle"
41191465,"YCBR 02 - 1 Bed / 1 Bath",,YCBR,"07/13/26 02:05 pm","07/13/26 02:05 pm",07/13/26,N/A,"Not Blocked", , ,"Fan for Guest",N/A,N/A,N/A,No,Owner,Active,Occupied,45,Management,"Evans Beth"
41190579,"Sandy Pointe",,"Northern Portfolio","07/13/26 01:23 pm","07/13/26 01:23 pm",07/13/26,N/A,"Not Blocked", , ,"Mattress topper",N/A,N/A,N/A,No,Owner,Active,Occupied,45,Management,"Evans Beth"
41190110,"YCBR 02 - 1 Bed / 1 Bath",,YCBR,"07/13/26 12:53 pm","07/13/26 12:53 pm",07/13/26,N/A,"Not Blocked", , ,"Extension Cord",N/A,N/A,N/A,No,Owner,Active,Occupied,45,Management,"Evans Beth"
41155298,"Signal Inn - Unit 16",,"Signal Inn","07/11/26 03:18 pm",,,N/A,"Not Blocked", , ,"Tub needs caulking",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,47,"Maintenance App","Johnson Michelle"
41151749,"7th Heaven",,"Northern Portfolio","07/11/26 11:16 am","07/11/26 11:54 am",,N/A,"Not Blocked", , ,insects,"Tropic Pest Control",N/A,N/A,No,"No Charge","Pending Final Closing",Checked-out/Clean,47,"Maintenance App","Randall Cararese"
41098920,"Shaker Of Salt",,"Northern Portfolio","07/10/26 10:04 pm","07/11/26 10:30 am",07/11/26,N/A,"Not Blocked", , ,"A/C Not Cooling","Aap Air, LLC",N/A,N/A,No,"No Charge","Pending Final Closing",Occupied,48,Management,"Consigna Vernice"
41030989,"Sandalfoot 2C2",,Sandalfoot,"07/08/26 11:46 am","07/08/26 11:46 am",07/11/26,N/A,"Not Blocked", , ,"curtain rod installation","Sandalfoot Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,50,Management,"Yelenich Peyton"
41012351,"Sandalfoot 2A3",,Sandalfoot,"07/07/26 02:17 pm","07/07/26 02:17 pm",07/07/26,N/A,"Not Blocked", , ,"bdc rates concern - refer to bdc","Gulf Coast Vacation Rentals",N/A,N/A,Yes,"No Charge",Active,Occupied,51,Management,"Consigna Vernice"
41008328,"Palm Whisper Cottage",,"Central Portfolio","07/07/26 10:46 am","07/09/26 12:35 pm",,N/A,"Not Blocked", , ,"ac filter","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,51,"Maintenance App","Matthews Travis"
40969760,"Signal Inn - Unit 12",,"Signal Inn","07/05/26 11:53 am",,,N/A,"Not Blocked", , ,"Slider lick broken",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,53,"Maintenance App","Johnson Michelle"
40968972,"Sandalfoot 3B2",,Sandalfoot,"07/05/26 10:50 am",,,N/A,"Not Blocked", , ,"AC dashboard",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,53,"Maintenance App","Urroz Cesar"
40829841,"Signal Inn - Unit 01",,"Signal Inn","06/28/26 01:17 pm","07/09/26 09:41 am",,N/A,"Not Blocked", , ,"Left patio door lick broke - Rt door had no lock",N/A,N/A,N/A,No,"No Charge",Active,Checked-out/Clean,60,"Maintenance App","Johnson Michelle"
40796680,"Sandalfoot 4C3",,Sandalfoot,"06/26/26 02:59 pm",,,N/A,"Not Blocked", , ,"Corner lamp in living room",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,62,"Maintenance App","Urroz Cesar"
40760346,Avalon,,"Central Portfolio","06/24/26 07:36 pm","06/25/26 11:08 am",,N/A,"Not Blocked", , ,"Kitchen lamp","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,64,"Maintenance App","Cabrera Yuli"
40760325,Avalon,,"Central Portfolio","06/24/26 07:34 pm","06/25/26 12:11 pm",,N/A,"Not Blocked", , ,Pool,"Owner's Preferred vendor",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,64,"Maintenance App","Cabrera Yuli"
40735081,"My Great Escape",,"Northern Portfolio","06/23/26 04:27 pm","06/23/26 04:27 pm",06/23/26,N/A,"Not Blocked", , ,ants,"Tropic Pest Control",N/A,N/A,No,"No Charge","Pending Final Closing",Occupied,65,Management,"McNamara Heather"
40636816,"Day Dreamer",,"Northern Portfolio","06/18/26 09:26 am","06/18/26 04:29 pm",,N/A,"Not Blocked", , ,filter,"Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,70,"Maintenance App","Randall Cararese"
40566254,"Signal Inn - Unit 07",,"Signal Inn","06/14/26 03:03 pm",,,N/A,"Not Blocked", , ,"Shower - needs Bleaching to get rid of mold on caulk.",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,74,"Maintenance App","Johnson Michelle"
"40367131-1a3 toilet paper holder","Sandalfoot 1A3",,Sandalfoot,"06/04/26 12:25 pm","06/04/26 12:25 pm",06/04/26,N/A,"Not Blocked", , ,"1a3 toilet paper holder",N/A,N/A,N/A,No,"No Charge",Active,Occupied,84,Management,"Sperrazza Julianna"
40322199,"Sandy Pointe",,"Northern Portfolio","06/02/26 12:00 pm","06/05/26 01:44 pm",,N/A,"Not Blocked", , ,"patio furniture and pillows","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,86,"Maintenance App","Randall Cararese"
40224427,"Sanibel Inn 513",,"Sanibel Portfolio","05/28/26 03:15 pm",,,N/A,"Not Blocked", , ,"Master bedroom",N/A,N/A,N/A,No,"No Charge",Pending,Dirty,91,"Maintenance App","Cabrera Yuli"
40223780,"Sandalfoot 5A1",,Sandalfoot,"05/28/26 02:43 pm",,,N/A,"Not Blocked", , ,kitchen,N/A,N/A,N/A,No,"No Charge",Pending,Occupied,91,"Maintenance App","Cabrera Yuli"
40204936,"Sandalfoot 4C2",,Sandalfoot,"05/27/26 03:51 pm",,,N/A,"Not Blocked", , ,Kitchen,N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,92,"Maintenance App","Urroz Cesar"
40186062,"Sandpebble 4E",,"Sanibel Portfolio","05/26/26 04:48 pm",,,N/A,"Not Blocked", , ,Kitchen,N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,93,"Maintenance App","Urroz Cesar"
40185973,"Sandpebble 4E",,"Sanibel Portfolio","05/26/26 04:42 pm",,,N/A,"Not Blocked", , ,"Guest bedrrom",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,93,"Maintenance App","Urroz Cesar"
40181705,"Turtle House",,Seasonal,"05/26/26 01:11 pm","05/26/26 04:10 pm",,N/A,"Not Blocked", , ,"insufficient bath towels","Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Occupied,93,"Maintenance App","Santana Angel"
40143412,"Signal Inn - Unit 08",,"Signal Inn","05/24/26 01:46 pm",,,N/A,"Not Blocked", , ,Bedroom,N/A,N/A,N/A,No,"No Charge",Pending,Occupied,95,"Maintenance App","Cabrera Yuli"
40128671,"Signal Inn - Unit 19",,"Signal Inn","05/23/26 02:18 pm",,,N/A,"Not Blocked", , ,Kitchen,N/A,N/A,N/A,No,"No Charge",Pending,Occupied,96,"Maintenance App","Cabrera Yuli"
40075446,"Sandalfoot 2B3",,Sandalfoot,"05/20/26 02:40 pm",,,N/A,"Not Blocked", , ,Kitchen,N/A,N/A,N/A,No,"No Charge",Pending,Occupied,99,"Maintenance App","Urroz Cesar"
40051058,"Sandalfoot 5C2",,Sandalfoot,"05/19/26 11:47 am","05/19/26 11:47 am",,N/A,"Not Blocked", , ,"Sandalfoot 5C2 Thermostat turning on and off","Sandalfoot Maintenance",N/A,N/A,No,Owner,Active,Occupied,100,Management,"Herrera Alain"
40013696,"Signal Inn - Unit 14",,"Signal Inn","05/17/26 02:07 pm","05/18/26 08:38 am",,N/A,"Not Blocked", , ,"mold on bottom floor shower",N/A,N/A,N/A,No,"No Charge",Active,Occupied,102,"Maintenance App","Johnson Michelle"
39942514,"Sandalfoot 5B1",,Sandalfoot,"05/14/26 01:44 pm","05/14/26 01:44 pm",,N/A,"Not Blocked", , ,"Sandalfoot 5B1 glass sliding door lock replaced","Sandalfoot Maintenance",N/A,N/A,No,Owner,Active,Occupied,105,Management,"Herrera Alain"
39940971,"Sandalfoot 2C2",,Sandalfoot,"05/14/26 12:22 pm",,,N/A,"Not Blocked", , ,Kitchen,N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,105,"Maintenance App","Urroz Cesar"
39921180,"Sandalfoot 2B3",,Sandalfoot,"05/13/26 12:23 pm",,,N/A,"Not Blocked", , ,Kitchen,N/A,N/A,N/A,No,"No Charge",Pending,Occupied,106,"Maintenance App","Urroz Cesar"
39908596,"Sandpebble 4E",,"Sanibel Portfolio","05/12/26 05:40 pm",,,N/A,"Not Blocked", , ,Kitchen,N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,107,"Maintenance App","Urroz Cesar"
39901077,"Sandalfoot 5D3",,Sandalfoot,"05/12/26 01:56 pm","05/12/26 01:56 pm",,N/A,"Not Blocked", , ,"Sandalfoot 5D3 Beach chair replacements","Sandalfoot Maintenance",N/A,N/A,No,Owner,Active,Occupied,107,Management,"Herrera Alain"
39897838,"Sandalfoot 2D2",,Sandalfoot,"05/12/26 10:42 am","05/12/26 10:42 am",,N/A,"Not Blocked", , ,"Sandalfoot 2D2 electrical track for ceiling fan fell","Sandalfoot Maintenance",N/A,N/A,No,Owner,Active,Occupied,107,Management,"Herrera Alain"
39754140,"18th Fairway",,"Sanibel Portfolio","05/04/26 04:31 pm","05/07/26 10:09 pm",,N/A,"Not Blocked", , ,"Downstairs entrance",N/A,N/A,N/A,No,"No Charge",Active,Checked-out/Clean,115,"Maintenance App","Cabrera Yuli"
39753799,"18th Fairway",,"Sanibel Portfolio","05/04/26 04:20 pm","05/07/26 10:10 pm",,N/A,"Not Blocked", , ,"living room",N/A,N/A,N/A,No,"No Charge",Active,Checked-out/Clean,115,"Maintenance App","Cabrera Yuli"
39752699,"Compass Point #163",,"Sanibel Portfolio","05/04/26 03:30 pm","05/07/26 10:10 pm",,N/A,"Not Blocked", , ,Wall,N/A,N/A,N/A,No,"No Charge",Active,Checked-out/Clean,115,"Maintenance App","Cabrera Yuli"
39751615,"Signal Inn - Unit 19",,"Signal Inn","05/04/26 02:44 pm","05/07/26 10:10 pm",,N/A,"Not Blocked", , ,Kitchen,N/A,N/A,N/A,No,"No Charge",Active,Occupied,115,"Maintenance App","Cabrera Yuli"
39751260,"Signal Inn - Unit 10",,"Signal Inn","05/04/26 02:28 pm","05/07/26 10:11 pm",,N/A,"Not Blocked", , ,"Shower curtain",N/A,N/A,N/A,No,"No Charge",Active,Occupied,115,"Maintenance App","Cabrera Yuli"
